02-05-2024 17:31:11, scale=2, epochs=500, batchSize=16, avgPSNR=18.033785385744913, avgSSIM=0.5806263347788398
imageN, model_psnr, bilinInter_psnr, bicubInter_psnr, areaInter_psnr, lanczosInter_psnr, model_ssim, bilinInter_ssim, bicubInter_ssim, areaInter_ssim, lanczosInter_ssim
1, 21.195785522460938, 20.444372177124023, 19.6917724609375, 19.104991912841797, 19.43811798095703, 0.3568726392393022, 0.3122972779033224, 0.30739652503967435, 0.2883745814218433, 0.2980769013517361
2, 16.2489013671875, 14.826236724853516, 14.111839294433594, 13.219520568847656, 13.90694522857666, 0.6392131018559338, 0.5006429867227631, 0.4630560729577014, 0.4637699930589965, 0.42884941780162233
3, 16.65831184387207, 15.235795974731445, 14.617654800415039, 14.161672592163086, 14.435684204101562, 0.5351907156043455, 0.4301020233343758, 0.4194206746592236, 0.4296573748289499, 0.40796293174242987
4, 12.675395965576172, 11.280906677246094, 10.510178565979004, 9.777167320251465, 10.238999366760254, 0.4539206352996975, 0.2772603392803321, 0.2819130906429243, 0.28552780878716805, 0.26631314431181863
5, 15.448049545288086, 14.029045104980469, 13.143366813659668, 12.609689712524414, 12.899969100952148, 0.3212425182325884, 0.20824921787013653, 0.19041761242738997, 0.19708259876104642, 0.18282541547834047
6, 15.233980178833008, 15.641621589660645, 15.064212799072266, 14.5204496383667, 14.777817726135254, 0.44199068664381336, 0.535894924105534, 0.4342513880162896, 0.5452236542465908, 0.4133807560068996
7, 15.157157897949219, 14.265392303466797, 13.50649356842041, 12.663002014160156, 13.220661163330078, 0.5243179655332402, 0.4475465123053016, 0.15769204075067172, 0.41407960325168197, 0.0997772459447009
8, 14.41114330291748, 12.931358337402344, 12.326711654663086, 11.412714958190918, 12.161556243896484, 0.451696213572952, 0.2781618252776929, 0.22466562198570775, 0.2462352885977733, 0.2234232152021483
9, 14.019866943359375, 13.238988876342773, 12.576069831848145, 12.008251190185547, 12.26746654510498, 0.39581443529223664, 0.27558773438349743, 0.2909798176690295, 0.35222978077605877, 0.2679102147310602
10, 23.61239242553711, 23.287307739257812, 22.70636749267578, 21.665781021118164, 22.374704360961914, 0.7867200495809035, 0.7878906793903544, 0.7450511150298044, 0.7598371845455621, 0.7147337023546043
11, 14.696183204650879, 13.486804008483887, 12.595199584960938, 11.83360481262207, 12.327255249023438, 0.4295456179628203, 0.34208118510878166, 0.3144438862196296, 0.3118231885915439, 0.30390553093216
12, 22.807424545288086, 22.413246154785156, 22.151315689086914, 20.905792236328125, 21.948760986328125, 0.7751081413911756, 0.7467085667742185, 0.755432546041778, 0.712411227986245, 0.7445640122010704
13, 19.52425765991211, 19.0976505279541, 18.541160583496094, 17.459943771362305, 18.23233985900879, 0.6626979373655262, 0.6337976147839407, 0.6194901209318522, 0.598747130634965, 0.5950263322369742
14, 18.42287254333496, 17.401615142822266, 16.749895095825195, 16.127416610717773, 16.587915420532227, 0.6725134781115624, 0.628897178043995, 0.558350445892331, 0.6132673158029139, 0.5267594654683515
15, 16.483726501464844, 15.706144332885742, 14.900209426879883, 14.303351402282715, 14.660283088684082, 0.46259711720489466, 0.4115098447139638, 0.3198336497231811, 0.39050517418123826, 0.30303007759993955
16, 14.107675552368164, 14.401202201843262, 13.535623550415039, 12.700037956237793, 13.300572395324707, 0.4633696072463145, 0.4983137120094556, 0.35707873010683877, 0.43025438055177845, 0.33296381963404625
17, 14.59692096710205, 13.539083480834961, 12.859325408935547, 12.070016860961914, 12.637166023254395, 0.47611807272205275, 0.36677341584322704, 0.2668063105511421, 0.33821417839387335, 0.23110018584147599
18, 16.578306198120117, 15.457612037658691, 14.590106964111328, 14.189037322998047, 14.281939506530762, 0.47573884191111887, 0.40055830690382777, 0.3196630990217774, 0.4005081449389957, 0.29473449443861055
19, 23.79395294189453, 23.440954208374023, 22.791616439819336, 21.770431518554688, 22.510631561279297, 0.7237067657487589, 0.7197133349112396, 0.6736714232381662, 0.6767433612531776, 0.6530960518839923
20, 20.088661193847656, 19.091279983520508, 18.531532287597656, 17.545825958251953, 18.334392547607422, 0.674444840770664, 0.6056959507254569, 0.5751484867087038, 0.5557898888662087, 0.5572763388804216
21, 16.81016731262207, 16.243253707885742, 15.780781745910645, 15.071769714355469, 15.504880905151367, 0.6013550996888545, 0.539304394624739, 0.5558161445590929, 0.5655649045062102, 0.5269124624598801
22, 18.494495391845703, 17.872055053710938, 17.130619049072266, 16.405736923217773, 16.8321590423584, 0.3943336567622688, 0.33717795662781763, 0.34060167731717306, 0.31671306942933936, 0.3267115924183713
23, 15.004314422607422, 13.736882209777832, 12.921686172485352, 12.283733367919922, 12.65222454071045, 0.5042715417005657, 0.3927060675476039, 0.3728617193265843, 0.37043721208011327, 0.34982589898276617
24, 16.878732681274414, 15.896177291870117, 15.131863594055176, 14.466230392456055, 14.903181076049805, 0.5422504879490845, 0.45466316807755036, 0.4233287639319698, 0.43141301282303407, 0.39864642118033994
25, 20.650726318359375, 20.15834617614746, 19.473392486572266, 18.738401412963867, 19.233644485473633, 0.5566999270301557, 0.5311231118510482, 0.3947606859082948, 0.4981181518588926, 0.3597996976288453
26, 20.742597579956055, 20.368850708007812, 19.832828521728516, 18.828447341918945, 19.587215423583984, 0.7826236514524108, 0.7699229618971363, 0.6793261924582756, 0.7232136621569958, 0.6582537028805472
27, 17.962169647216797, 17.235580444335938, 16.870473861694336, 15.634928703308105, 16.591215133666992, 0.7217088763472996, 0.6053522610381037, 0.6086172945240498, 0.5893831705280148, 0.5694669047290896
28, 20.762645721435547, 20.181093215942383, 19.634912490844727, 18.986474990844727, 19.39440155029297, 0.585245402802738, 0.5419150868306363, 0.5170024751948091, 0.5363578824110412, 0.49157478447788827
29, 15.620573043823242, 14.42991828918457, 13.598514556884766, 13.063139915466309, 13.337730407714844, 0.500933723459361, 0.41133589611345384, 0.3440431397662372, 0.40111765001629124, 0.322148959337445
30, 12.41134262084961, 11.12092113494873, 10.976876258850098, 9.860611915588379, 10.804769515991211, 0.7645955981567774, 0.6277325372619218, 0.3263054712262589, 0.6374886327637985, 0.26549153002086856
31, 23.81288719177246, 23.06256103515625, 22.664737701416016, 21.091577529907227, 22.38104820251465, 0.7682118600684443, 0.7513110952159817, 0.6206853014990905, 0.7076935121470397, 0.5761468698586271
32, 13.565092086791992, 12.243844985961914, 11.548601150512695, 11.0888090133667, 11.312952995300293, 0.41273345489568725, 0.28626972985793997, 0.23898982844859412, 0.2973607168698634, 0.21880689706463824
33, 17.69285774230957, 16.843589782714844, 16.20376205444336, 15.908821105957031, 15.905257225036621, 0.4829668875759785, 0.43632678341950576, 0.45333253913331273, 0.470812822645694, 0.4357859534028685
34, 17.263154983520508, 16.517894744873047, 15.75407886505127, 15.177668571472168, 15.493587493896484, 0.49607378162729615, 0.46828994075432484, 0.24734188911312954, 0.47966682640494146, 0.20854103447623543
35, 20.040321350097656, 19.239349365234375, 19.01394271850586, 17.446229934692383, 18.715045928955078, 0.8384363117682525, 0.8051157287943741, 0.7212356945382649, 0.7648148044568177, 0.678107696679844
36, 19.051143646240234, 18.179428100585938, 17.46891212463379, 16.669858932495117, 17.2010440826416, 0.5779374490258917, 0.5209525973405584, 0.4473869234619425, 0.48437356759435174, 0.4259007845614049
37, 20.00368309020996, 20.70868492126465, 20.211408615112305, 19.04248809814453, 19.953472137451172, 0.6615508348360051, 0.7191234180088126, 0.6571278566867914, 0.6694582143906234, 0.6174948868271299
38, 25.12198257446289, 24.621610641479492, 24.188701629638672, 23.408626556396484, 24.045618057250977, 0.8931059851950092, 0.8749637910141673, 0.5465964212114367, 0.8467183306180774, 0.5241441343466776
39, 16.2376651763916, 15.255309104919434, 14.616058349609375, 13.942596435546875, 14.423959732055664, 0.5423144875428274, 0.4524022071735292, 0.44346347953340576, 0.4381649211470671, 0.4076241779640202
40, 19.891525268554688, 19.327308654785156, 18.696063995361328, 18.05545425415039, 18.49486541748047, 0.7467352341911244, 0.7420519331727597, 0.7157539783787296, 0.7280696989741904, 0.7030789151383475
41, 16.040691375732422, 15.260309219360352, 14.512877464294434, 13.854764938354492, 14.233362197875977, 0.5020757410574287, 0.4285503676494316, 0.4105941017174492, 0.4267719442174428, 0.38134059076209775
42, 22.625534057617188, 22.537343978881836, 22.107711791992188, 20.961734771728516, 21.839704513549805, 0.774357685914637, 0.763641241072571, 0.6839968062304517, 0.7348948070084582, 0.6509062488623946
43, 16.828109741210938, 15.813359260559082, 15.45563793182373, 14.367505073547363, 15.162052154541016, 0.7811448311689694, 0.7068491915243605, 0.46680544948694996, 0.708032234469697, 0.3722621025989484
44, 20.725440979003906, 19.72182846069336, 19.004810333251953, 18.226177215576172, 18.766983032226562, 0.6421780844416722, 0.5830370644023706, 0.4961818661050965, 0.5422454114202395, 0.4857890182637114
45, 26.293869018554688, 24.79637336730957, 24.34931755065918, 22.842304229736328, 24.08578109741211, 0.8732116178444554, 0.843859701363509, 0.7672085389117245, 0.8130896493615815, 0.7458122406214787
46, 16.23568344116211, 15.456676483154297, 14.957773208618164, 14.127424240112305, 14.749216079711914, 0.5552964874174953, 0.4790986436877841, 0.42121019311547303, 0.4689003705473976, 0.404995093366687
47, 16.917171478271484, 16.71453094482422, 15.673543930053711, 15.103564262390137, 15.354269981384277, 0.3897563980181167, 0.4119006907447776, 0.39185310822365765, 0.3996050898685311, 0.3789555826806042
48, 17.833084106445312, 17.09944725036621, 16.40802001953125, 15.688278198242188, 16.15314483642578, 0.6530458245121968, 0.5921582888289624, 0.5145470778476896, 0.5546435757567664, 0.4789998254549457
49, 11.790258407592773, 9.405624389648438, 8.781050682067871, 8.266551971435547, 8.606480598449707, 0.5143504898185711, 0.26138608974409827, 0.1737979838887836, 0.26921710796785797, 0.16439799445512887
50, 21.85784912109375, 20.957271575927734, 20.367286682128906, 19.37332534790039, 20.083158493041992, 0.8059402588167344, 0.7881022012576221, 0.649996234919028, 0.7608344708013123, 0.6013732467198049
51, 13.246618270874023, 13.13637924194336, 12.170478820800781, 11.035861015319824, 11.937158584594727, -0.029911377197515528, -0.014144080401687447, -0.0407315899682226, -0.11103718403569784, -0.04152380039384096
52, 16.231678009033203, 15.500093460083008, 14.811291694641113, 14.122560501098633, 14.530930519104004, 0.5246069142372969, 0.4414558522918912, 0.42700104617371043, 0.4618435340626913, 0.38714010854627723
53, 21.50071907043457, 21.209352493286133, 21.127910614013672, 19.85083770751953, 20.97027015686035, 0.8180393371116407, 0.8052656300685811, 0.7576121387082159, 0.7704624070901012, 0.7272308188874654
54, 16.599519729614258, 15.414628982543945, 14.650403022766113, 13.965106964111328, 14.403220176696777, 0.5308072682908963, 0.4175434353761109, 0.3540658072499529, 0.39700170130239043, 0.32502062300867973
55, 16.33721160888672, 15.009732246398926, 14.195486068725586, 13.48492431640625, 13.959736824035645, 0.5016995004013157, 0.4060565189356996, 0.35931570568601773, 0.38602973334567764, 0.3301221797425211
