02-05-2024 18:07:18, scale=2, epochs=100, batchSize=8, avgPSNR=22.60427131652832, avgSSIM=0.6478929394742097
imageN, model_psnr, bilinInter_psnr, bicubInter_psnr, areaInter_psnr, lanczosInter_psnr, model_ssim, bilinInter_ssim, bicubInter_ssim, areaInter_ssim, lanczosInter_ssim
1, 22.79138946533203, 22.80510902404785, 21.992450714111328, 21.36570930480957, 21.778533935546875, 0.7148079016997838, 0.7166292483816649, 0.6929191221865513, 0.6767431604873791, 0.6835051537634088
2, 24.212312698364258, 24.3895263671875, 23.8681583404541, 22.776887893676758, 23.65618896484375, 0.8072819904291437, 0.818753118907985, 0.8122335952038303, 0.7840273606014881, 0.8042338930962707
3, 20.727794647216797, 20.972450256347656, 20.179248809814453, 19.710006713867188, 19.925996780395508, 0.5488509900951566, 0.563458884710378, 0.42343620398010695, 0.5320121710594216, 0.36509235815824576
4, 24.375293731689453, 24.272281646728516, 23.472389221191406, 22.787534713745117, 23.216041564941406, 0.5374790202279489, 0.5440609029960456, 0.5334160118002815, 0.508433149105668, 0.5204307898092986
5, 18.596981048583984, 17.94705581665039, 16.984987258911133, 16.19864273071289, 16.729501724243164, 0.6088548508015221, 0.610015594738184, 0.5735056861673254, 0.578134033539114, 0.5528709521189966
6, 25.699642181396484, 25.786426544189453, 24.980117797851562, 24.205686569213867, 24.680866241455078, 0.8090445993025291, 0.8124789186758848, 0.7882939796092134, 0.7710375590751429, 0.7751588411906375
7, 16.280107498168945, 17.727474212646484, 16.852088928222656, 15.807012557983398, 16.602392196655273, 0.5430070480143009, 0.5904898407750729, 0.47657663223649194, 0.5628177985690189, 0.43478542723877533
8, 19.39191436767578, 19.385690689086914, 18.475955963134766, 17.647377014160156, 18.18365478515625, 0.43487946965769475, 0.43657533660757625, 0.3987151222741146, 0.3899709650076309, 0.375353543065007
9, 28.905799865722656, 28.853939056396484, 28.29906463623047, 27.56140899658203, 28.116260528564453, 0.7881244187567013, 0.7861030654696185, 0.76902276944176, 0.742133954532426, 0.760348646026407
10, 26.237356185913086, 26.272804260253906, 25.800073623657227, 24.758501052856445, 25.5214900970459, 0.7698961034446218, 0.7774658381116669, 0.7490102786299372, 0.7393370302261884, 0.7275392179824383
11, 20.129444122314453, 20.1529483795166, 19.430463790893555, 18.610580444335938, 19.16623306274414, 0.6143475656182487, 0.6181634401590094, 0.5945131192296115, 0.5864121087856737, 0.5828663270605152
12, 21.05417251586914, 21.24234962463379, 20.528114318847656, 19.60970115661621, 20.274974822998047, 0.6191858093022893, 0.6306934468467925, 0.49556713378626177, 0.5918835561885106, 0.4644208581295447
13, 21.464073181152344, 21.371917724609375, 20.587078094482422, 19.91193962097168, 20.330541610717773, 0.5435833104820418, 0.5405595820088548, 0.503023038378933, 0.49965268596980866, 0.4911197512935844
14, 19.644390106201172, 19.70745277404785, 18.93090057373047, 18.290626525878906, 18.6889591217041, 0.5898046308142425, 0.5957734182805843, 0.5888748590611602, 0.5712381592409049, 0.5819779141989907
15, 26.70733642578125, 27.183048248291016, 26.778928756713867, 25.876110076904297, 26.5622615814209, 0.6961858073200725, 0.7047248391502368, 0.6544559515631095, 0.647877623643817, 0.640403852430948
16, 18.010465621948242, 18.262727737426758, 17.422590255737305, 16.81081771850586, 17.163249969482422, 0.4331625104427211, 0.43539674407564605, 0.41576087665886263, 0.410643486110333, 0.4064778928256619
17, 26.648948669433594, 26.812475204467773, 26.30418586730957, 25.31305694580078, 26.061664581298828, 0.8128206702537282, 0.820322323837345, 0.8053337487269053, 0.7928220600923591, 0.7887029728077616
18, 19.869869232177734, 19.81377410888672, 18.957536697387695, 18.173736572265625, 18.673431396484375, 0.5636229131605591, 0.5638692266546504, 0.5300531605383896, 0.5248421810585664, 0.5045362793655794
19, 20.300704956054688, 20.321081161499023, 19.601716995239258, 18.86457061767578, 19.33357810974121, 0.4852374772889172, 0.4853820818749591, 0.4406531667047806, 0.4516240352996453, 0.41240428043975663
20, 22.75963020324707, 22.813674926757812, 22.174280166625977, 21.3856143951416, 21.937973022460938, 0.68982424243002, 0.6925277508058726, 0.46187170687361556, 0.654147647244167, 0.43094492145897684
21, 25.911487579345703, 25.96798324584961, 25.409225463867188, 24.458633422851562, 25.174455642700195, 0.794668532902401, 0.7982904719511805, 0.7890370452458584, 0.764651736765483, 0.7809912230442062
22, 32.40866470336914, 32.61442565917969, 31.86887550354004, 30.913803100585938, 31.607282638549805, 0.7741669102006343, 0.7741439171459468, 0.7493761687794064, 0.712692764030901, 0.7379042597246028
23, 16.103988647460938, 16.243942260742188, 15.396331787109375, 14.802565574645996, 15.16294002532959, 0.42594429244239645, 0.4252172310502696, 0.3655698557954228, 0.41111769329215114, 0.3487592062062475
24, 20.218982696533203, 20.303741455078125, 19.50606918334961, 18.683191299438477, 19.230300903320312, 0.5138908161997385, 0.519217351320987, 0.48938529258164337, 0.47288023995615225, 0.4667158788945106
25, 24.561260223388672, 24.612159729003906, 23.954870223999023, 23.129575729370117, 23.70834732055664, 0.6902667392825266, 0.6947630188371957, 0.6670104116386886, 0.6568400158163278, 0.6486373554767876
26, 26.129993438720703, 25.988971710205078, 25.376855850219727, 24.458152770996094, 25.148229598999023, 0.7671149797913199, 0.7736647965212239, 0.6769933149895904, 0.7435463394667283, 0.6561507209836566
27, 20.366100311279297, 20.579418182373047, 20.089834213256836, 18.975040435791016, 19.863779067993164, 0.603109296832839, 0.6192682856734218, 0.512919977392945, 0.5888282848910097, 0.47575008967406324
28, 22.893369674682617, 23.148975372314453, 22.613515853881836, 21.73240852355957, 22.44208526611328, 0.7511627224288829, 0.7528162643869737, 0.7461635965540845, 0.708796845356213, 0.7391413881015314
29, 24.692296981811523, 24.748916625976562, 24.374074935913086, 23.196517944335938, 24.167497634887695, 0.7862143871299239, 0.7875895172142519, 0.7539865612032137, 0.7620318808424532, 0.7293925423951693
30, 23.225139617919922, 23.35979461669922, 22.788583755493164, 21.686111450195312, 22.53467559814453, 0.7143075888573182, 0.7223755663835798, 0.6785990283911914, 0.6815610452420248, 0.6564722068355499
31, 24.472354888916016, 24.558826446533203, 23.875274658203125, 22.808391571044922, 23.55472183227539, 0.7291570023452504, 0.7324756698512839, 0.6319395334382929, 0.6898678663690169, 0.599363207430022
32, 22.670888900756836, 22.7283878326416, 22.138883590698242, 21.81731414794922, 22.002294540405273, 0.5517272406817553, 0.5453216001529758, 0.4472031134660696, 0.5220665784227057, 0.43107453229389364
33, 27.716262817382812, 27.656957626342773, 27.137357711791992, 25.937915802001953, 26.931930541992188, 0.7469678933544539, 0.7453912787872895, 0.6903624919134657, 0.6901037796668444, 0.6637642807902493
34, 19.490022659301758, 19.729463577270508, 19.058849334716797, 18.311798095703125, 18.834653854370117, 0.651163314802111, 0.6662853096456075, 0.5230567184170308, 0.6299872632846343, 0.4957666690824036
35, 37.06215286254883, 37.395225524902344, 37.655364990234375, 34.71666717529297, 37.544071197509766, 0.9490503355510453, 0.9502830091909037, 0.9454370657753258, 0.9258497357478259, 0.9417406560977184
36, 19.115121841430664, 19.151235580444336, 18.38198471069336, 17.74228286743164, 18.144136428833008, 0.5407117769489088, 0.5405478427982664, 0.5177826206517036, 0.517429620435202, 0.5031469140809189
37, 18.331920623779297, 18.937294006347656, 18.190767288208008, 17.287471771240234, 17.95219612121582, 0.5468414862877188, 0.5556310735748659, 0.46295388663333525, 0.5224756493162941, 0.43376706646615804
38, 22.229957580566406, 22.42894744873047, 21.418792724609375, 21.091468811035156, 21.045154571533203, 0.3655857433930558, 0.37558580097973343, 0.3427645827012576, 0.37167800213765406, 0.3091335661739807
39, 20.930145263671875, 21.161521911621094, 20.30209732055664, 19.506046295166016, 20.009706497192383, 0.5147410249901683, 0.5179845085821846, 0.46082410646959776, 0.469053231649139, 0.44118989699560063
40, 18.466651916503906, 18.493816375732422, 17.793678283691406, 17.050554275512695, 17.56757926940918, 0.5475896658885673, 0.5524909163886947, 0.4890953113275899, 0.5189686854925657, 0.4598325793058266
41, 25.02664566040039, 24.985095977783203, 24.434097290039062, 23.535749435424805, 24.201173782348633, 0.8678086097625755, 0.8694303640457411, 0.8657711274720641, 0.8333862771570405, 0.8580463550946871
42, 30.468772888183594, 30.761775970458984, 30.203372955322266, 29.36432647705078, 29.958059310913086, 0.8481982430320777, 0.8522173776084027, 0.821188407508299, 0.8157566441375896, 0.8098193268209496
43, 18.81001091003418, 18.778867721557617, 18.045108795166016, 17.154083251953125, 17.83866310119629, 0.6556110874439699, 0.6538725903135325, 0.6080771067785951, 0.6245857962834432, 0.5841228669338236
44, 20.32392120361328, 20.378948211669922, 19.622692108154297, 18.889442443847656, 19.39201545715332, 0.6277243526668241, 0.6334056367264493, 0.621439440885202, 0.5982078301108584, 0.6100049264074855
45, 19.197805404663086, 19.24863052368164, 18.52954864501953, 17.572900772094727, 18.26512336730957, 0.6913096386019262, 0.6942068300391186, 0.6269485174313437, 0.6488931819089295, 0.6057326100839051
46, 19.49993133544922, 19.578121185302734, 18.892587661743164, 18.289371490478516, 18.65370750427246, 0.4986296650676855, 0.49969599880526006, 0.48534818149199116, 0.46979905509738207, 0.4712744516185889
47, 23.84354019165039, 23.829723358154297, 23.07856559753418, 22.168638229370117, 22.807416915893555, 0.7669735604007532, 0.7679873055492924, 0.7410686863509719, 0.7355735492251226, 0.7275956286290963
48, 21.785839080810547, 21.658531188964844, 21.085588455200195, 20.423410415649414, 20.808124542236328, 0.639334825841013, 0.6557451078357175, 0.5422559180946289, 0.6343898502030405, 0.49262209989359146
49, 25.3590087890625, 25.260303497314453, 24.66999053955078, 23.640165328979492, 24.409048080444336, 0.6936933349006302, 0.6962059489785138, 0.6338012364420368, 0.6651315836002152, 0.6022014271136998
50, 19.508522033691406, 19.61550521850586, 19.033935546875, 18.301084518432617, 18.836994171142578, 0.5844423754013851, 0.5915402295377112, 0.48152621554825825, 0.5625595008400949, 0.45709282345277163
51, 21.300830841064453, 21.211505889892578, 20.294771194458008, 19.3997745513916, 20.00298309326172, 0.5560737816569313, 0.5590552426639513, 0.5259879519017074, 0.5231912791010748, 0.5138107365909289
52, 27.272705078125, 27.275489807128906, 26.605236053466797, 25.435190200805664, 26.37944984436035, 0.7780869463829438, 0.7810773578058757, 0.7581540172735886, 0.7430938018513047, 0.7462131221211344
53, 20.942176818847656, 20.818147659301758, 20.131311416625977, 19.991596221923828, 19.938753128051758, 0.644578553150835, 0.644688293415813, 0.6203322708323635, 0.6313126819582263, 0.5898111538738595
54, 19.893096923828125, 19.96595573425293, 19.211212158203125, 18.47731590270996, 18.96478271484375, 0.46392797378129813, 0.46661050912077073, 0.26262734285498324, 0.4296193572339277, 0.22560125309158385
55, 19.13526725769043, 19.19692039489746, 18.31940460205078, 17.5078182220459, 18.026355743408203, 0.6483974234613668, 0.6546090743558921, 0.6424922809088055, 0.6168807952401842, 0.6280334609299939
56, 26.468446731567383, 26.679744720458984, 26.30230712890625, 25.142234802246094, 26.15929412841797, 0.8017585266064545, 0.8145346787464273, 0.7451507448708319, 0.7742073051755908, 0.7200658969498367
57, 20.960079193115234, 20.969572067260742, 20.272708892822266, 19.541608810424805, 20.002246856689453, 0.7598852000491977, 0.7622855610905801, 0.7403418504908041, 0.7371335806483863, 0.7192724518026034
58, 25.33116912841797, 25.270004272460938, 24.6713809967041, 23.516799926757812, 24.397680282592773, 0.77225339766032, 0.7817051018181559, 0.7726059304731874, 0.7410386571617406, 0.767279120085716
59, 20.11468505859375, 20.146677017211914, 19.36507797241211, 18.721773147583008, 19.13504409790039, 0.6623049187920146, 0.6614722833509485, 0.6146966223819301, 0.6237984982580901, 0.5962448921524073
60, 38.302913665771484, 39.371917724609375, 39.21164321899414, 36.86805725097656, 39.046810150146484, 0.9487403130814266, 0.9520098710760794, 0.9464273394290635, 0.927393726353813, 0.9438099637253028
61, 26.171688079833984, 26.14324951171875, 25.358158111572266, 24.609355926513672, 25.12433624267578, 0.6945129783462894, 0.6968453522885034, 0.6646690676724303, 0.6487702652520679, 0.6473477839835791
62, 22.691425323486328, 22.87126350402832, 22.126983642578125, 21.23959732055664, 21.872852325439453, 0.6277737865141388, 0.6287614378419408, 0.5257792784332523, 0.5682853960388576, 0.49254419012364486
63, 20.49190902709961, 20.569087982177734, 19.842384338378906, 19.23334503173828, 19.549312591552734, 0.441662974015696, 0.4398959830564992, 0.4249977126140116, 0.4103459446010116, 0.4095795927073424
64, 24.359447479248047, 24.231891632080078, 23.441064834594727, 22.74374771118164, 23.192138671875, 0.6206315834656335, 0.6228127557510562, 0.6118268788083282, 0.5940233357670227, 0.59959217248167
65, 24.521503448486328, 24.600439071655273, 23.980384826660156, 23.26957893371582, 23.751781463623047, 0.6566313532313026, 0.6588827114180713, 0.5697711759145015, 0.6153186033640934, 0.5596051086724252
