02-05-2024 17:15:32, scale=2, epochs=500, batchSize=16, avgPSNR=17.23998944248472, avgSSIM=0.5216438418642674
imageN, model_psnr, bilinInter_psnr, bicubInter_psnr, areaInter_psnr, lanczosInter_psnr, model_ssim, bilinInter_ssim, bicubInter_ssim, areaInter_ssim, lanczosInter_ssim
1, 18.039581298828125, 17.872055053710938, 17.130619049072266, 16.405736923217773, 16.8321590423584, 0.3151685980949657, 0.33717795662781763, 0.34060167731717306, 0.31671306942933936, 0.3267115924183713
2, 12.609500885009766, 12.105578422546387, 11.25914478302002, 10.61524486541748, 11.012124061584473, 0.24449301036606097, 0.24251349016206702, 0.2278054049267821, 0.21237109944052057, 0.20584750105492067
3, 17.27246856689453, 16.843589782714844, 16.20376205444336, 15.908821105957031, 15.905257225036621, 0.44295207122554875, 0.43632678341950576, 0.45333253913331273, 0.470812822645694, 0.4357859534028685
4, 25.32312774658203, 24.79637336730957, 24.34931755065918, 22.842304229736328, 24.08578109741211, 0.8472354256197149, 0.843859701363509, 0.7672085389117245, 0.8130896493615815, 0.7458122406214787
5, 11.947766304016113, 11.280906677246094, 10.510178565979004, 9.777167320251465, 10.238999366760254, 0.3257778173624723, 0.2772603392803321, 0.2819130906429243, 0.28552780878716805, 0.26631314431181863
6, 12.564258575439453, 12.206917762756348, 11.530560493469238, 10.876373291015625, 11.276446342468262, 0.3530434440538407, 0.3209768296996196, 0.25187647312040606, 0.3335024578594707, 0.2375337446097615
7, 15.419979095458984, 15.641621589660645, 15.064212799072266, 14.5204496383667, 14.777817726135254, 0.488504132623354, 0.535894924105534, 0.4342513880162896, 0.5452236542465908, 0.4133807560068996
8, 15.225969314575195, 14.667503356933594, 14.134235382080078, 13.545536994934082, 13.927139282226562, 0.3909130248604015, 0.37030023892963787, 0.28759180706251847, 0.36855477793758434, 0.27457517877361165
9, 15.807149887084961, 15.457612037658691, 14.590106964111328, 14.189037322998047, 14.281939506530762, 0.42143320280872487, 0.40055830690382777, 0.3196630990217774, 0.4005081449389957, 0.29473449443861055
10, 21.023860931396484, 20.444372177124023, 19.6917724609375, 19.104991912841797, 19.43811798095703, 0.32036792677803744, 0.3122972779033224, 0.30739652503967435, 0.2883745814218433, 0.2980769013517361
11, 18.36842155456543, 18.243730545043945, 17.674991607666016, 17.084625244140625, 17.493202209472656, 0.5113891221397691, 0.5075738225844479, 0.49846949166468435, 0.4883648928152585, 0.4877207428644778
12, 17.88986587524414, 17.91452980041504, 17.37395477294922, 16.37141990661621, 17.0280818939209, 0.7121418072306847, 0.7038757666957706, 0.4686103682137738, 0.6855593138021174, 0.42576304589435804
13, 17.887924194335938, 17.449993133544922, 16.76312828063965, 15.962043762207031, 16.56356430053711, 0.4364863386208483, 0.4233271989363286, 0.41222726527559306, 0.41533475064047737, 0.3938173595884929
14, 20.559123992919922, 20.15834617614746, 19.473392486572266, 18.738401412963867, 19.233644485473633, 0.5328187240670204, 0.5311231118510482, 0.3947606859082948, 0.4981181518588926, 0.3597996976288453
15, 22.12234878540039, 21.92673110961914, 21.531770706176758, 19.62377166748047, 21.327478408813477, 0.7780560163555398, 0.768449544036359, 0.6965045344551667, 0.7199747127324312, 0.7009074730865207
16, 21.95806884765625, 22.537343978881836, 22.107711791992188, 20.961734771728516, 21.839704513549805, 0.7555593399260045, 0.763641241072571, 0.6839968062304517, 0.7348948070084582, 0.6509062488623946
17, 16.34149742126465, 15.303059577941895, 14.616040229797363, 14.072492599487305, 14.426918983459473, 0.33481534268012564, 0.298246447627387, 0.26015406949660924, 0.29780034377982795, 0.23435052564980852
18, 16.49626350402832, 16.535951614379883, 15.910781860351562, 15.030202865600586, 15.658989906311035, 0.5851097478889826, 0.5767745359659476, 0.5583714077143453, 0.5546926064366066, 0.5298523427090542
19, 15.483675956726074, 15.097436904907227, 14.365468978881836, 13.789386749267578, 14.149402618408203, 0.46757941454525365, 0.43118795992707576, 0.38898475525334, 0.4102522634066301, 0.3642706547827253
20, 19.215194702148438, 18.820053100585938, 18.285825729370117, 17.534387588500977, 18.0754451751709, 0.4753885909759096, 0.4667699681325385, 0.46201740760621834, 0.45589835472062584, 0.4403168252543202
21, 13.968975067138672, 13.826070785522461, 13.010812759399414, 12.400657653808594, 12.716049194335938, 0.47679047282442993, 0.44155801650590193, 0.31826401698891305, 0.44581090686794694, 0.298979516644669
22, 18.09222984313965, 17.58289909362793, 16.753612518310547, 16.036846160888672, 16.522905349731445, 0.4820534488052962, 0.48962523933994023, 0.4624465181174951, 0.44445142696385215, 0.4452237422004787
23, 16.111825942993164, 15.393064498901367, 14.674684524536133, 13.702333450317383, 14.463457107543945, 0.39074742856180816, 0.36575773831126895, 0.1838222523069031, 0.3100726051591707, 0.16081509477860034
24, 18.283702850341797, 18.008892059326172, 17.24822998046875, 16.49702262878418, 17.017044067382812, 0.5882853932541646, 0.5835470995752531, 0.5420944101157935, 0.5436209701343576, 0.5257896260054717
25, 13.618669509887695, 13.539083480834961, 12.859325408935547, 12.070016860961914, 12.637166023254395, 0.376200471784144, 0.36677341584322704, 0.2668063105511421, 0.33821417839387335, 0.23110018584147599
26, 16.17694664001465, 15.346407890319824, 14.474478721618652, 13.812511444091797, 14.20907974243164, 0.47431483996406304, 0.4489329549884985, 0.40793086197475475, 0.41026809200120573, 0.38406663716835704
27, 18.097768783569336, 18.00004005432129, 17.127342224121094, 16.311145782470703, 16.846202850341797, 0.44995171590731614, 0.45771019750380176, 0.4278241912254223, 0.41681331596305843, 0.40941919534426247
